student_id,enrollment_date,name,age,gender,department,course,semester,gpa,attendance_pct,assignments_submitted,hours_studied_weekly,scholarship,placement_status,salary_offered
STU-000047,2020-06-09,Student_47,25,Female,Civil,B.Tech,6.0,8.09,48.80311154502337,12,4.0,0,Internship,1200000
STU-000048,2021-09-21,Student_48,24,Male,CS,PhD,5.0,5.86,73.45545058226917,6,1.0,5000,Not Placed,800000
STU-000049,2021-03-02,Student_49,22,Female,EE,B.Tech,1.0,4.76,68.30330685016207,14,22.0,0,Placed,800000
STU-000050,2020-11-17,Student_50,22,Female,Civil,MBA,6.0,2.74,98.98158414864146,11,41.0,5000,Internship,1200000
STU-000051,2020-11-10,Student_51,28,Female,EE,MBA,2.0,2.96,74.64396369070161,50,46.0,5000,Not Placed,1200000
STU-000052,2020-05-07,Student_52,28,Male,CS,MBA,3.0,4.34,80.33748203395854,18,30.0,5000,Internship,800000
STU-000053,2022-01-06,Student_53,19,Non-binary,MBA,MBA,1.0,2.22,73.83247217645923,8,28.0,10000,Not Placed,500000
STU-000054,2020-03-26,Student_54,27,Female,MBA,PhD,,3.96,77.72276671815847,9,24.0,20000,Placed,500000
STU-000055,2019-06-05,Student_55,28,Male,ME,MBA,5.0,2.19,75.64059736015938,8,38.0,10000,Placed,800000
STU-000056,2019-11-20,Student_56,22,Non-binary,Civil,PhD,7.0,6.02,63.84802443049551,19,28.0,10000,Not Placed,1200000
STU-000057,2019-09-29,Student_57,18,Female,MBA,B.Tech,2.0,7.84,81.10441040808065,14,1.0,10000,Internship,0
STU-000058,2021-01-06,Student_58,28,Male,MBA,B.Tech,4.0,7.66,56.590292500917364,10,42.0,20000,Placed,500000
STU-000059,2023-01-20,Student_59,28,Non-binary,CS,B.Tech,2.0,8.87,89.24110431595967,17,,20000,Placed,500000
STU-000060,2020-06-26,Student_60,22,Female,ME,M.Tech,1.0,2.78,55.0302872248746,2,38.0,0,Internship,1200000
STU-000061,2021-11-19,Student_61,20,Male,EE,B.Tech,8.0,7.4,68.28644617574744,4,37.0,20000,Placed,800000
STU-000062,2020-06-08,Student_62,25,Female,MBA,M.Tech,5.0,8.53,97.64155307814454,18,21.0,5000,Not Placed,500000
STU-000063,2022-10-29,Student_63,28,Male,EE,PhD,8.0,9.36,62.4246038315483,6,30.0,20000,Internship,800000
STU-000064,2022-07-23,Student_64,23,Male,EE,MBA,3.0,8.32,78.42001636724522,14,16.0,10000,Internship,500000
STU-000065,2021-03-19,Student_65,27,Non-binary,MBA,PhD,2.0,6.23,50.829224722177756,14,45.0,20000,Internship,500000
STU-000066,2022-07-04,Student_66,22,Female,ME,PhD,,5.6,84.60517579566805,16,19.0,10000,Internship,300000
STU-000067,2022-05-09,Student_67,27,Male,ME,B.Tech,8.0,5.05,93.09143853427716,2,41.0,5000,Placed,1200000
STU-000068,2021-01-17,Student_68,18,Female,MBA,PhD,7.0,8.19,53.908241892737664,19,36.0,20000,Internship,800000
STU-000069,2019-12-05,Student_69,27,Male,ME,MBA,3.0,8.29,70.02089414835285,3,32.0,5000,Internship,500000
STU-000070,2020-01-20,Student_70,21,Non-binary,Civil,B.Tech,4.0,9.2,92.43265349672649,5,27.0,20000,Internship,300000
STU-000071,2019-05-31,Student_71,29,Male,EE,M.Tech,5.0,2.28,42.100048540736246,14,33.0,10000,Internship,1200000
STU-000072,2020-04-25,Student_72,24,Female,EE,M.Tech,1.0,9.0,73.72936019908349,3,5.0,0,Placed,500000
STU-000073,2021-05-13,Student_73,29,Non-binary,ME,B.Tech,3.0,2.29,41.539994099984774,5,18.0,5000,Placed,0
STU-000074,2023-01-04,Student_74,19,Male,Civil,PhD,5.0,5.76,41.11721943538703,16,49.0,5000,Placed,800000
STU-000075,2022-12-25,Student_75,29,Non-binary,EE,MBA,7.0,7.61,46.29962060670247,10,47.0,20000,Internship,300000
STU-000076,2020-01-10,Student_76,27,Non-binary,EE,M.Tech,1.0,5.72,54.036546417799585,4,16.0,5000,Placed,0
STU-000077,2022-09-15,Student_77,28,Male,MBA,MBA,5.0,6.78,95.32597332912516,19,12.0,5000,Not Placed,0
STU-000078,2022-10-14,Student_78,19,Female,EE,M.Tech,6.0,4.2,46.24465804878251,6,11.0,10000,Placed,800000
STU-000079,2021-12-03,Student_79,22,Non-binary,EE,PhD,2.0,5.39,78.57410291077733,11,42.0,0,Placed,300000
STU-000080,2019-07-21,Student_80,21,Non-binary,ME,MBA,3.0,4.89,42.233049407936406,1,10.0,10000,Placed,500000
STU-000081,2020-08-09,Student_81,22,Male,ME,PhD,1.0,3.82,93.11102682441708,19,33.0,10000,Placed,300000
STU-000082,2022-08-02,Student_82,24,Female,EE,B.Tech,5.0,2.1,55.90087767023202,5,23.0,10000,Not Placed,500000
STU-000083,2022-09-30,Student_83,25,Non-binary,Civil,B.Tech,1.0,6.31,96.03819227490749,4,17.0,20000,Not Placed,500000
STU-000084,2022-09-01,Student_84,19,Non-binary,Civil,B.Tech,8.0,5.58,88.54895481116068,0,21.0,5000,Placed,500000
STU-000085,2022-09-22,Student_85,24,Non-binary,EE,MBA,4.0,2.88,97.54386380322856,11,,0,Internship,0
STU-000086,2022-09-23,Student_86,29,Non-binary,MBA,MBA,2.0,7.14,90.03141591527927,16,43.0,5000,Internship,500000
STU-000087,2019-05-31,Student_87,20,Female,Civil,B.Tech,2.0,5.88,73.61363249609798,16,42.0,20000,Placed,500000
STU-000088,2020-12-28,Student_88,21,Non-binary,EE,B.Tech,2.0,8.42,86.52008651859319,12,4.0,0,Placed,1200000
STU-000089,2022-03-26,Student_89,24,Female,EE,MBA,3.0,3.36,63.1503019715183,17,10.0,20000,Not Placed,300000
STU-000090,2022-08-20,Student_90,19,Female,CS,MBA,3.0,7.4,68.38023616710416,19,,10000,Placed,0
STU-000091,2020-05-02,Student_91,27,Non-binary,CS,B.Tech,7.0,2.11,82.94704465456437,3,40.0,20000,Not Placed,800000
STU-000092,2019-05-09,Student_92,18,Male,Civil,B.Tech,,7.19,96.61923396065018,6,28.0,5000,Internship,800000
STU-000093,2021-04-08,Student_93,26,Male,ME,B.Tech,,5.96,75.85909299644942,3,26.0,10000,Internship,800000
STU-000094,2020-03-05,Student_94,24,Female,CS,PhD,3.0,8.3,93.45034465960927,0,36.0,20000,Internship,1200000
STU-000095,2022-02-22,Student_95,18,Male,MBA,M.Tech,5.0,6.48,85.71851425359242,0,36.0,20000,Placed,1200000
STU-000096,2022-02-14,Student_96,21,Non-binary,MBA,B.Tech,2.0,5.08,40.47230276608102,8,4.0,20000,Internship,300000
STU-000097,2022-08-02,Student_97,25,Non-binary,EE,MBA,7.0,6.71,50.49611254841623,13,30.0,5000,Internship,1200000
STU-000098,2019-02-08,Student_98,26,Female,CS,MBA,2.0,2.21,69.97695377890449,18,6.0,0,Not Placed,1200000
STU-000099,2022-06-17,Student_99,23,Male,Civil,MBA,5.0,4.91,55.94377126619754,1,14.0,20000,Internship,800000
STU-000100,2021-12-05,Student_100,29,Male,ME,MBA,7.0,5.32,60.43196571310597,1,46.0,20000,Not Placed,500000
STU-000101,2022-06-23,Student_101,26,Non-binary,MBA,B.Tech,,5.24,49.02036298275138,6,13.0,10000,Placed,1200000
STU-000102,2022-06-10,Student_102,19,Female,EE,MBA,7.0,8.13,40.167033626849765,4,41.0,10000,Internship,1200000
STU-000103,2019-05-22,Student_103,23,Female,EE,B.Tech,4.0,6.8,93.8371591572454,0,27.0,20000,Placed,800000
STU-000104,2021-09-06,Student_104,28,Non-binary,CS,MBA,2.0,3.19,77.5061044293675,11,27.0,0,Not Placed,1200000
STU-000105,2021-04-27,Student_105,27,Female,MBA,MBA,2.0,5.7,88.79174730478076,15,1.0,0,Placed,0
STU-000106,2019-05-26,Student_106,24,MALE,ME,PhD,6.0,5.6,68.11419929133132,2,48.0,20000,Placed,500000
STU-000107,2019-07-12,Student_107,21,Female,ME,M.Tech,5.0,9.6,96.48181306075432,7,21.0,10000,Not Placed,300000
STU-000108,2020-10-21,Student_108,28,Female,ME,M.Tech,4.0,2.84,90.3684980216823,19,42.0,0,Not Placed,300000
STU-000109,2022-06-11,Student_109,18,Non-binary,Civil,B.Tech,1.0,3.84,66.11253479587101,14,0.0,20000,Internship,0
STU-000110,2021-11-28,Student_110,27,Female,ME,MBA,1.0,6.25,93.76244179067157,15,45.0,20000,Not Placed,0
STU-000111,2021-05-27,Student_111,26,Female,Civil,M.Tech,7.0,4.97,66.17067178814418,12,43.0,5000,Placed,1200000
STU-000112,2019-12-20,Student_112,26,Female,CS,PhD,5.0,5.34,79.97049608812239,13,47.0,10000,Not Placed,800000
STU-000113,2020-12-08,Student_113,28,Female,ME,M.Tech,2.0,7.87,83.36273415545497,19,12.0,10000,Not Placed,800000
STU-000114,2021-11-03,Student_114,23,Female,MBA,PhD,2.0,5.97,91.47765214240908,7,4.0,20000,Not Placed,800000
STU-000115,2020-02-18,Student_115,22,Female,CS,M.Tech,3.0,6.66,92.52490280151116,10,41.0,0,Internship,1200000
STU-000116,2019-04-21,Student_116,18,Non-binary,MBA,B.Tech,8.0,6.2,53.82923976821424,2,43.0,20000,Internship,300000
STU-000117,2021-10-31,Student_117,23,Male,ME,MBA,8.0,5.61,86.83761348585175,15,48.0,20000,Placed,1200000
STU-000118,2022-09-09,Student_118,20,Non-binary,EE,B.Tech,3.0,8.76,77.2227836510715,16,18.0,10000,Internship,500000
STU-000119,2021-03-31,Student_119,27,Female,EE,MBA,8.0,8.18,51.21873815286425,18,40.0,20000,Placed,800000
STU-000120,2022-05-20,Student_120,27,Non-binary,ME,M.Tech,6.0,2.98,70.5432230001521,0,42.0,10000,Not Placed,300000
STU-000121,2020-12-12,Student_121,28,Female,EE,MBA,5.0,4.91,92.06647713658043,3,36.0,10000,Internship,1200000
STU-000122,2022-03-09,Student_122,24,Non-binary,MBA,MBA,1.0,3.34,79.0517614704404,8,29.0,10000,Not Placed,1200000
STU-000123,2022-09-08,Student_123,24,Male,Civil,M.Tech,8.0,7.75,43.84299856349665,6,49.0,0,Internship,0
STU-000124,2021-06-07,Student_124,24,Male,CS,PhD,3.0,3.96,76.59680911826217,9,5.0,0,Placed,500000
STU-000125,2020-01-23,Student_125,18,Female,Civil,MBA,,5.71,72.10827337010707,0,22.0,10000,Not Placed,0
STU-000126,2020-03-21,Student_126,21,Non-binary,EE,M.Tech,,4.42,59.93010215074114,11,6.0,10000,Not Placed,300000
STU-000127,2022-11-18,Student_127,26,Male,CS,MBA,-7.0,7.22,90.29920587077424,10,29.0,5000,Internship,0
STU-000128,2020-12-28,Student_128,20,Non-binary,MBA,M.Tech,2.0,5.64,88.2485201718091,0,44.0,20000,Internship,300000
STU-000129,2019-02-03,Student_129,24,Female,EE,B.Tech,4.0,8.76,71.30090105471118,11,,0,Placed,300000
STU-000130,2020-09-09,Student_130,19,Female,MBA,B.Tech,1.0,2.33,47.50982046628521,5,42.0,0,Placed,0
STU-000131,2022-03-06,Student_131,29,Female,CS,MBA,3.0,2.41,53.48401371832761,4,3.0,0,Placed,0
STU-000132,2019-06-04,Student_132,19,Male,MBA,MBA,1.0,9.75,45.21830580704691,8,26.0,5000,Not Placed,500000
STU-000133,2020-11-12,Student_133,23,Male,MBA,MBA,1.0,7.09,77.37021164387104,17,4.0,0,Not Placed,500000
STU-000134,2020-06-02,Student_134,27,Female,ME,M.Tech,2.0,7.54,53.30316975767495,11,29.0,5000,Not Placed,1200000
STU-000135,2021-03-23,Student_135,95,Male,Civil,B.Tech,8.0,9.88,69.04124901775711,45,9.0,5000,Not Placed,300000
STU-000136,2022-07-12,Student_136,27,Female,ME,B.Tech,7.0,8.14,74.695608410544,19,10.0,20000,Not Placed,500000
STU-000137,2020-04-02,Student_137,19,Non-binary,Civil,PhD,5.0,8.02,44.77501839630916,17,4.0,0,Internship,500000
STU-000138,2021-05-30,Student_138,19,Female,Civil,B.Tech,2.0,9.6,51.49194682537393,2,7.0,20000,Not Placed,0
STU-000139,2019-07-14,Student_139,24,Non-binary,CS,M.Tech,2.0,3.01,93.20862864476527,0,22.0,10000,Internship,500000
STU-000140,2021-12-19,Student_140,25,Female,EE,MBA,6.0,9.65,80.02590938716699,13,22.0,0,Not Placed,1200000
STU-000141,2022-10-20,Student_141,21,Male,EE,PhD,5.0,5.83,94.20984704656792,12,19.0,20000,Placed,500000
STU-000142,2022-06-28,Student_142,27,Non-binary,Civil,MBA,1.0,4.46,99.0783004950667,13,38.0,10000,Internship,300000
STU-000143,2019-02-04,Student_143,19,Female,CS,PhD,8.0,4.26,66.47870381603738,11,19.0,20000,Not Placed,300000
STU-000144,2019-10-29,Student_144,27,Female,EE,MBA,1.0,3.58,65.05094230126693,17,30.0,20000,Placed,1200000
STU-000145,2020-10-20,Student_145,21,Male,MBA,B.Tech,3.0,9.83,66.8166950600669,7,6.0,5000,Placed,300000
STU-000146,2022-01-24,Student_146,26,Female,ME,PhD,3.0,2.37,77.85231506902196,16,12.0,5000,Not Placed,800000
STU-000147,2020-01-11,Student_147,23,Male,ME,MBA,2.0,6.0,95.8140690599751,16,24.0,5000,Internship,800000
STU-000148,2020-10-28,Student_148,29,Male,MBA,B.Tech,8.0,6.72,54.67695028851951,6,19.0,10000,Placed,500000
STU-000149,2021-09-21,Student_149,23,Non-binary,Civil,B.Tech,2.0,4.39,65.15096887906456,15,,0,Placed,300000
STU-000150,2019-11-24,Student_150,26,Female,ME,MBA,5.0,4.35,97.1220139808696,3,36.0,5000,Placed,500000
STU-000151,2022-12-20,Student_151,18,Male,EE,MBA,2.0,6.03,60.208270829046825,14,12.0,10000,Internship,800000
STU-000152,2022-10-26,Student_152,19,Male,Civil,B.Tech,5.0,8.24,87.19409347228597,3,36.0,10000,Internship,800000
STU-000153,2019-06-03,Student_153,29,Male,ME,B.Tech,1.0,4.27,43.37476104826648,16,42.0,5000,Placed,800000
STU-000154,2023-02-06,Student_154,28,Female,Civil,PhD,2.0,5.69,96.0305627778917,10,24.0,5000,Not Placed,800000
STU-000155,2019-12-13,Student_155,140,Female,CS,M.Tech,6.0,2.9,51.64717860081163,19,39.0,0,Placed,300000
STU-000156,2022-01-30,Student_156,22,Male,Civil,M.Tech,6.0,2.17,53.76983747565046,5,45.0,10000,Not Placed,1200000
STU-000157,2021-04-29,Student_157,22,Male,MBA,M.Tech,6.0,2.68,69.77247855429893,16,46.0,5000,Placed,1200000
STU-000158,2020-02-21,Student_158,21,Non-binary,MBA,B.Tech,6.0,7.06,57.67662805325818,16,22.0,0,Placed,300000
STU-000159,2020-01-14,Student_159,21,Female,EE,PhD,8.0,2.65,89.7971704778197,14,24.0,10000,Not Placed,800000
STU-000160,2022-10-21,Student_160,24,Male,ME,PhD,6.0,8.67,71.42323276856537,16,9.0,20000,Internship,500000
STU-000161,2022-11-14,Student_161,22,Female,ME,MBA,4.0,3.9,60.34354065970224,15,21.0,10000,Placed,800000
STU-000162,2022-04-11,Student_162,28,Male,EE,M.Tech,1.0,5.59,49.29242708701344,5,5.0,0,Internship,800000
STU-000163,2021-06-17,Student_163,25,Non-binary,ME,PhD,4.0,7.3,77.22284356612658,7,12.0,5000,Internship,1200000
STU-000164,2019-06-23,Student_164,18,Non-binary,MBA,PhD,2.0,7.09,92.26025130356342,17,13.0,0,Not Placed,500000
STU-000165,2022-04-09,Student_165,19,Male,CS,PhD,6.0,7.33,98.9759270487283,11,28.0,0,Placed,300000
STU-000166,2022-07-13,Student_166,20,Non-binary,EE,PhD,2.0,9.16,82.97450705562221,18,40.0,10000,Not Placed,1200000
STU-000167,2022-02-08,Student_167,26,Female,CS,B.Tech,7.0,3.82,55.34459998361344,16,9.0,5000,Internship,500000
STU-000168,2019-03-10,Student_168,19,Non-binary,MBA,M.Tech,7.0,3.75,95.72695780446223,3,0.0,20000,Placed,1200000
STU-000169,2022-01-30,Student_169,20,Male,EE,B.Tech,3.0,5.99,76.68281720803378,8,44.0,5000,Internship,300000
STU-000170,2020-11-10,Student_170,23,Female,CS,M.Tech,1.0,8.54,95.3751725360573,11,13.0,0,Placed,0
STU-000171,2019-04-23,Student_171,27, Male ,EE,MBA,1.0,6.75,57.16549436276673,19,1.0,0,Not Placed,0
STU-000172,2020-09-09,Student_172,24,Female,EE,B.Tech,1.0,2.36,74.08192543062489,14,22.0,20000,Internship,800000
STU-000173,2022-07-29,Student_173,24,Female,MBA,PhD,3.0,3.85,92.75876354403525,8,,20000,Placed,800000
STU-000174,2019-11-05,Student_174,27,Non-binary,CS,MBA,7.0,9.58,93.67819939353838,2,3.0,0,Internship,800000
STU-000175,2020-05-20,Student_175,145,Female,EE,M.Tech,6.0,8.02,89.77880086490521,2,26.0,10000,Not Placed,300000
STU-000176,2020-12-31,Student_176,25,Non-binary,Civil,M.Tech,8.0,6.36,47.076934159610516,12,31.0,10000,Placed,800000
STU-000177,2022-01-30,Student_177,29,Female,Civil,B.Tech,2.0,5.83,51.95425375321459,7,8.0,0,Not Placed,300000
STU-000178,2023-01-13,Student_178,22,Female,CS,MBA,8.0,9.18,69.43069748319344,2,42.0,5000,Internship,300000
STU-000179,2021-05-09,Student_179,22,Female,MBA,M.Tech,2.0,6.07,92.38355347678532,11,29.0,5000,Internship,800000
STU-000180,2020-12-20,Student_180,21,Male,Civil,PhD,3.0,3.72,99.42618456949614,0,40.0,0,Placed,800000
STU-000181,2022-07-18,Student_181,24,Non-binary,CS,MBA,5.0,2.14,66.56246812928846,16,48.0,20000,Internship,500000
STU-000182,2021-09-06,Student_182,21,Male,MBA,M.Tech,4.0,6.41,49.658141684196295,6,39.0,20000,Not Placed,500000
STU-000183,2021-04-28,Student_183,19,Female,MBA,MBA,1.0,4.82,75.0154003072773,3,1.0,5000,Internship,800000
STU-000184,2022-09-07,Student_184,20,Non-binary,ME,PhD,5.0,5.76,96.83361565369043,2,47.0,20000,Internship,0
STU-000185,2019-12-15,Student_185,18,Female,CS,M.Tech,6.0,7.81,63.05648637485227,7,32.0,0,Internship,300000
STU-000186,2020-08-01,Student_186,27,Non-binary,CS,B.Tech,3.0,8.91,53.08643692375834,13,28.0,10000,Internship,1200000
STU-000187,2022-10-31,Student_187,19,Female,MBA,B.Tech,3.0,3.47,95.87155994621511,19,36.0,10000,Internship,1200000
STU-000188,2022-03-05,Student_188,25,Male,Civil,PhD,3.0,6.4,63.67388445146139,13,30.0,20000,Placed,500000
STU-000189,2019-03-28,Student_189,23,Female,MBA,PhD,1.0,3.64,93.88753528606892,6,12.0,10000,Internship,500000
STU-000190,2022-08-18,Student_190,24,Male,Civil,M.Tech,5.0,2.96,92.51209410929289,17,25.0,5000,Placed,500000
STU-000191,2021-05-18,Student_191,23,Male,ME,MBA,3.0,9.3,95.94252984268127,13,10.0,0,Not Placed,1200000
STU-000192,2023-01-10,Student_192,23,Male,EE,MBA,6.0,5.12,75.96675807586382,11,16.0,10000,Not Placed,1200000
STU-000193,2020-02-29,Student_193,26,Male,ME,B.Tech,3.0,4.93,84.7883538243462,2,46.0,5000,Not Placed,2500000
STU-000194,2021-05-09,Student_194,28,Female,MBA,MBA,3.0,7.85,80.35774874841152,7,35.0,10000,Internship,500000
STU-000195,2020-10-07,Student_195,28,Female,CS,PhD,5.0,5.42,91.77976238583436,7,34.0,20000,Placed,500000
STU-000196,2022-04-06,Student_196,19,Non-binary,MBA,PhD,5.0,2.72,79.7285104826255,8,30.0,20000,Placed,0
STU-000197,2019-02-07,Student_197,18,Female,MBA,PhD,1.0,9.66,88.9256501553003,18,19.0,20000,Placed,500000
STU-000198,2022-05-22,Student_198,21,Non-binary,CS,MBA,6.0,7.95,43.591684671313956,12,1.0,10000,Placed,0
STU-000199,2020-02-03,Student_199,18,Non-binary,MBA,MBA,3.0,5.15,41.94213397477621,14,,10000,Placed,300000
STU-000200,2019-02-20,Student_200,27,Male,EE,MBA,8.0,6.03,67.65492910995545,3,0.0,5000,Placed,500000
STU-000201,2022-12-12,Student_201,25,Non-binary,CS,M.Tech,6.0,3.63,47.57182156166603,7,11.0,10000,Not Placed,0
STU-000202,2022-11-27,Student_202,27,Female,CS,B.Tech,3.0,8.61,92.35868158298635,14,22.0,0,Placed,300000
STU-000203,2019-01-21,Student_203,25,Female,ME,PhD,6.0,3.26,69.80897560207146,10,23.0,0,Internship,1200000
STU-000204,2019-12-30,Student_204,25,Non-binary,CS,PhD,2.0,8.75,91.6724072021652,15,29.0,5000,Not Placed,500000
STU-000205,2021-12-16,Student_205,26,Female,CS,M.Tech,4.0,7.12,41.90980963050258,5,34.0,20000,Placed,500000
STU-000206,2019-08-03,Student_206,28,Female,CS,B.Tech,8.0,8.71,96.45565535060994,11,48.0,20000,Internship,1200000
STU-000207,2022-03-12,Student_207,25,Male,ME,M.Tech,1.0,3.28,58.83671488263609,14,38.0,5000,Placed,1200000
STU-000208,2019-02-21,Student_208,24,Non-binary,CS,PhD,7.0,6.61,80.32523034706149,15,32.0,0,Placed,800000
STU-000209,2021-03-21,Student_209,27,Non-binary,CS,MBA,3.0,9.75,49.15481753718677,11,36.0,10000,Internship,0
STU-000210,2019-10-11,Student_210,24,Male,CS,M.Tech,4.0,9.84,64.02481027872389,0,2.0,20000,Internship,300000
STU-000211,2020-01-25,Student_211,25,Female,Civil,B.Tech,2.0,2.09,95.70535077037033,17,1.0,20000,Placed,0
STU-000212,2020-04-01,Student_212,25,Non-binary,CS,B.Tech,3.0,4.79,80.28226273309781,16,7.0,20000,Not Placed,0
STU-000213,2021-12-10,Student_213,21,Male,CS,PhD,3.0,9.05,75.73653031152077,18,4.0,5000,Internship,1200000
STU-000214,2022-09-19,Student_214,21,Male,CS,M.Tech,7.0,9.31,47.61021531180356,9,43.0,0,Internship,1200000
